Git Issue Id;Title;Labels;State;AssigneeName;IssueCreatedAt;IssueClosedDate;Severity
4892;AutoCreated: Issue ;" [APIFuzztest;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4893;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4894;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-13;Major
4895;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;Jack;13/03/2020;NA;Major
4896;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;John;13/03/2020;NA;Minor
4897;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;John;13/03/2020;NA;Minor
4898;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-04-23;Major
4899;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-04-23;Major
4900;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-04-23;Major
4901;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4902;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4903;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4904;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4905;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4906;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4907;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4908;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4909;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;13/03/2020;2020-03-24;Major
4910;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;Michael;13/03/2020;NA;Major
4911;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;Michael;13/03/2020;NA;Major
4912;Anchore: Issue;" [Anchore;Auto_Created;security]"; opened;Michael;13/03/2020;NA;Major
4916;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Adam;15/03/2020;2020-04-14;Major
4918;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Jack;16/03/2020;2020-05-19;Major
4919;Anchore: Issue;" [Anchore;Auto_Created;security]"; closed;Jack;16/03/2020;2020-03-24;Major
4924;Tenable.sc:Issue;" [Auto_Created;Clair;security]"; closed;Jack;16/03/2020;2020-03-24;Major
4955;AutoCreated: Issue ;" [Auto_Created;Clair;security]"; opened;Alice;23/03/2020;NA;Minor
